0.386 -33.8
0.4 -19.9
0.415 -7.6
0.429 -4.5
0.443 7.8
0.458 14.5
0.472 24.8
0.486 31.6
0.5 35
0.515 37.8
0.529 32.5
0.543 28.1
0.558 24.8
0.572 20.2
0.586 19.8
0.601 15.8
0.615 10.9
0.629 7.8
0.643 6.6
0.658 6.6
0.672 7
0.686 5.9
0.701 3.3
0.715 -2.3
0.729 -0.1
0.744 -5
0.758 -6.2
0.772 -7.9
0.786 -10.4
0.801 -12.5
0.815 -12.4
0.829 -10
0.844 -6.4
0.858 -2.2
0.872 2.3
0.887 6.5
0.901 10.1
0.915 12.5
0.929 13.3
0.944 12.5
0.958 10.6
0.972 6.8
0.987 3.6
1.001 4.6
1.015 5.7
1.03 6.4
1.044 6.3
1.058 5.5
1.072 4.3
1.087 3
1.101 1.8
1.115 0.6
1.13 -0.5
1.144 -1.5
1.158 -2.2
1.173 -2.7
1.187 -3.1
1.201 -3.6
1.215 -4.3
1.23 -5.6
1.244 -7.4
1.258 -9.7
1.273 -12.3
1.287 -14.5
1.301 -15.9
1.316 -15.9
1.33 -14.5
1.344 -11.7
1.358 -8.2
1.373 -4.9
