0.386 -1.7
0.4 4.6
0.415 8.3
0.429 2.8
0.443 6.9
0.458 4.6
0.472 5
0.486 2.6
0.5 -0.5
0.515 0.2
0.529 -3.5
0.543 -5.1
0.558 -6.6
0.572 -10.5
0.586 -10.6
0.601 -14.1
0.615 -18.7
0.629 -22.5
0.643 -25.3
0.658 -27.9
0.672 -30.3
0.686 -33.5
0.701 -38.8
0.715 -45.1
0.729 -45.4
0.744 -53.5
0.758 -58.8
0.772 -64.8
0.786 -71.2
0.801 -77.3
0.815 -82.7
0.829 -87
0.844 -89.7
0.858 -89.8
0.872 -86.7
0.887 -79.7
0.901 -68.6
0.915 -54.3
0.929 -38.8
0.944 -24.2
0.958 -12.3
0.972 -3.6
0.987 1.4
1.001 1.4
1.015 1.4
1.03 1.3
1.044 1.1
1.058 0.9
1.072 0.7
1.087 0.6
1.101 0.5
1.115 0.5
1.13 0.5
1.144 0.5
1.158 0.6
1.173 0.6
1.187 0.7
1.201 0.8
1.215 0.8
1.23 0.7
1.244 0.6
1.258 0.4
1.273 0.1
1.287 -0.2
1.301 -0.4
1.316 -0.5
1.33 -0.6
1.344 -0.5
1.358 -0.3
1.373 0
