0	0	0.329443	0	0	0.05	0	-0.04399360314	-0.3880862754	0	-0.1651604147	-0.7438705706	0	-0.1499310485	-0.8683984623	0
0.01	0.01856833494	0.3288212287	0	0.01856542806	0.04937822869	0	-0.02109707442	-0.389121381	0	-0.1503142722	-0.7420615697	0	-0.1333566209	-0.8663659037	0
0.02	0.03691134221	0.3272006293	0	0.03813637855	0.04776031448	0	0.004776273249	-0.3912637454	0	-0.1387342705	-0.7386375855	0	-0.1221439083	-0.8629914728	0
0.03	0.05527169648	0.3245586119	0	0.05946685374	0.04514710374	0	0.03070480387	-0.3942021494	0	-0.1296337294	-0.734136578	0	-0.114030087	-0.8586181258	0
0.04	0.07362465791	0.3208254029	0	0.08195547968	0.04150661075	0	0.056674814	-0.3980567063	0	-0.1224200771	-0.7284941149	0	-0.1081994047	-0.8531412243	0
0.05	0.09193666095	0.3159390909	0	0.1047323728	0.03678920288	0	0.08295910803	-0.4029618025	0	-0.1161697724	-0.7217274687	0	-0.1036827886	-0.8465601753	0
0.06	0.1102149538	0.3098986848	0	0.1270712464	0.03096454268	0	0.1093190774	-0.4089671364	0	-0.109790619	-0.7143436285	0	-0.09907108708	-0.8393405126	0
0.07	0.128476737	0.3027570246	0	0.1484830581	0.02403110664	0	0.135373935	-0.4160633976	0	-0.1023808651	-0.7071587703	0	-0.09310070455	-0.8322707522	0
0.08	0.146735639	0.2945841621	0	0.1687616622	0.01601057301	0	0.1609446965	-0.4242097319	0	-0.09339498827	-0.7009319495	0	-0.0850416621	-0.8261092291	0
0.09	0.1650029904	0.2854390911	0	0.1879737229	0.006941809743	0	0.1861041058	-0.4333439228	0	-0.08258970363	-0.6961508819	0	-0.07467180714	-0.8213564582	0
0.1	0.1832891878	0.2753619514	0	0.2063754306	-0.00312577842	0	0.2110873112	-0.4433902671	0	-0.06987459158	-0.69303856	0	-0.0620417475	-0.8182494859	0
0.11	0.2016030627	0.2643808628	0	0.2242930986	-0.0141394282	0	0.2361958385	-0.4542682123	0	-0.05516739236	-0.6916946824	0	-0.04722130844	-0.8168984728	0
0.12	0.2199511032	0.2525219173	0	0.2420147835	-0.02604869179	0	0.2617345637	-0.4658965655	0	-0.03830162029	-0.692263854	0	-0.03011953381	-0.8174524432	0
0.13	0.238337267	0.2398141893	0	0.2597219617	-0.03880936513	0	0.287976159	-0.4781915702	0	-0.01900079032	-0.6950533085	0	-0.01040938064	-0.8202144729	0
0.14	0.2567632059	0.2262876891	0	0.2774718606	-0.05238692735	0	0.3151390212	-0.4910624416	0	0.003086797752	-0.7005553313	0	0.01244198076	-0.8256617258	0
0.15	0.2752285504	0.2119663964	0	0.2952242368	-0.06676028476	0	0.3433690522	-0.5044098004	0	0.02831931037	-0.7093671646	0	0.03906743426	-0.8343615934	0
0.16	0.2936789955	0.1970445589	0	0.3128005181	-0.08174345663	0	0.3726611419	-0.5179449324	0	0.05703554894	-0.7220143962	0	0.0701345194	-0.8467843701	0
0.17	0.311867106	0.1832692933	0	0.3299334998	-0.09558908596	0	0.4024675464	-0.5298630017	0	0.08966978252	-0.7382410714	0	0.1067790935	-0.8625246217	0
0.18	0.3298444181	0.1714287343	0	0.3469271096	-0.107491634	0	0.4330674404	-0.5392726725	0	0.1262758697	-0.7563965845	0	0.1489450087	-0.8797871819	0
0.19	0.3472859414	0.1633055946	0	0.3630071886	-0.1156948223	0	0.464982702	-0.5440124807	0	0.1646891074	-0.7700381829	0	0.1940919039	-0.8919996725	0
0.2	0.3640827596	0.1595300278	0	0.3778933396	-0.1195714916	0	0.4966541954	-0.543541869	0	0.2032585327	-0.7784521627	0	0.2385736682	-0.8988347636	0
0.21	0.380334984	0.1597736217	0	0.3918739651	-0.1194310383	0	0.5248778879	-0.5391511574	0	0.2428907192	-0.7876407904	0	0.2856964002	-0.9055678995	0
0.22	0.3960875083	0.1631861919	0	0.4051535895	-0.1161097021	0	0.5496394992	-0.5320169558	0	0.2837797855	-0.7976905782	0	0.3355120376	-0.9119836379	0
0.23	0.411373063	0.1686511358	0	0.417998408	-0.1107133127	0	0.5726216945	-0.5229591872	0	0.3248290819	-0.8055590495	0	0.3858973132	-0.9151482849	0
0.24	0.4262397519	0.1752479548	0	0.4308116726	-0.1041576425	0	0.5952911599	-0.5125710605	0	0.3640881669	-0.8088969571	0	0.4335543977	-0.9133650009	0
0.25	0.440755676	0.1824412939	0	0.4439999175	-0.09698287318	0	0.6172957382	-0.5017341305	0	0.4004924476	-0.8087523615	0	0.4772012028	-0.9080241917	0
0.26	0.4549669662	0.1902621342	0	0.4577230465	-0.08916727422	0	0.6373515634	-0.4911481415	0	0.4340690464	-0.8072811504	0	0.5173076925	-0.9011451861	0
0.27	0.4689169518	0.1988151644	0	0.4718962502	-0.08061195321	0	0.6548456548	-0.4810923362	0	0.4652126381	-0.8055968507	0	0.5545227715	-0.8937037715	0
0.28	0.4826480184	0.2080582608	0	0.4862608952	-0.07136138306	0	0.6700734167	-0.4714463474	0	0.4942878038	-0.8036560392	0	0.5891619774	-0.8857414861	0
0.29	0.4962084471	0.2178588863	0	0.5005277824	-0.06155072986	0	0.6835955251	-0.4619770319	0	0.5217205433	-0.8011825024	0	0.6215760355	-0.8771299189	0
0.3	0.5096556702	0.2280451771	0	0.5144799179	-0.05135617734	0	0.6957481118	-0.452600322	0	0.5481552279	-0.798259405	0	0.6524515451	-0.8679832002	0
0.31	0.5230488225	0.2384105226	0	0.5279981469	-0.04098864425	0	0.7066304615	-0.4434131936	0	0.5743663681	-0.7952229016	0	0.6826628983	-0.8585552863	0
