0.386 -54.4
0.4 -37.6
0.415 -23.5
0.429 -20.8
0.443 -11.1
0.458 -7.8
0.472 0.4
0.486 4.7
0.5 7.3
0.515 9.9
0.529 5
0.543 3
0.558 4.7
0.572 6.5
0.586 12
0.601 12.5
0.615 10.9
0.629 10.1
0.643 11.2
0.658 13.8
0.672 16.7
0.686 17.7
0.701 15.2
0.715 11.2
0.729 14.6
0.744 12.2
0.758 14.7
0.772 16.6
0.786 16.5
0.801 16.1
0.815 18.3
0.829 23.6
0.844 29.5
0.858 34.4
0.872 37.3
0.887 37.2
0.901 32.6
0.915 27.5
0.929 20.7
0.944 15.2
0.958 11.9
0.972 9.3
0.987 9
1.001 10.4
1.015 12.3
1.03 13.6
1.044 13.4
1.058 11.8
1.072 9.4
1.087 6.8
1.101 4.2
1.115 2
1.13 0.4
1.144 -0.7
1.158 -1.4
1.173 -1.7
1.187 -2.1
1.201 -3
1.215 -4.5
1.23 -6.7
1.244 -9.4
1.258 -12.8
1.273 -16.4
1.287 -19
1.301 -19.7
1.316 -18.6
1.33 -15.7
1.344 -11.5
1.358 -6.7
1.373 -2.9
