0.386 87.1
0.4 192.6
0.415 304.1
0.429 404.2
0.443 476.6
0.458 521.7
0.472 552.9
0.486 579.8
0.5 599.6
0.515 604.5
0.529 589.9
0.543 558.1
0.558 516.7
0.572 473.4
0.586 433.4
0.601 400.3
0.615 377.1
0.629 365
0.643 362.3
0.658 366.5
0.672 375
0.686 386.1
0.701 400.3
0.715 418.8
0.729 441
0.744 465.8
0.758 493.7
0.772 523.9
0.786 552.6
0.801 576.8
0.815 595.8
0.829 608.6
0.844 612.1
0.858 602.3
0.872 576.1
0.887 530.3
0.901 463
0.915 377.3
0.929 282.1
0.944 190.1
0.958 110.8
0.972 44.4
0.987 0
1.001 0
1.015 0
1.03 0
1.044 0
1.058 0
1.072 0
1.087 0
1.101 0
1.115 0
1.13 0
1.144 0
1.158 0
1.173 0
1.187 0
1.201 0
1.215 0
1.23 0
1.244 0
1.258 0
1.273 0
1.287 0
1.301 0
1.316 0
1.33 0
1.344 0
1.358 0
1.373 0
